Year,District,January R/F,January %DEP,February R/F,February %DEP,March R/F,March %DEP,April R/F,April %DEP,May R/F,May %DEP,June R/F,June %DEP,July R/F,July %DEP,August R/F,August %DEP,September R/F,September %DEP,October R/F,October %DEP,November R/F,November %DEP,December R/F,December %DEP
2018,North,15.2,-75,66.4,-33,216.2,8,221,-7,397.3,12,584.2,16,688.2,41,510.8,19,751.9,93,203.5,-23,68.9,58,15.1,-33
2019,North,25.7,-37,92.7,3,236.2,39,155.3,-25,443.7,52,531.4,29,588,41,351.4,-5,559.8,91,88.7,-51,8.5,-75,26.3,21
2020,North,83.1,104,25.2,-72,155,-9,343.7,67,375,28,993.7,140,818.9,97,467.2,26,409.7,40,220.9,21,23.5,-32,17.2,-21
2021,North,31.9,-22,64.5,-28,263.1,55,336.7,64,488.2,67,528.1,28,531.2,28,565.6,53,316.1,8,302.7,66,25.2,-27,34.3,58
2022,North,85.2,78,174.6,69,146.2,-17,480.2,121,464.9,47,739.6,59,331.6,-26,506,22,680.1,99,409,151,6.7,-81,7.5,-63
2009,South,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010,South,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,130,-60,346.7,-41,547.4,-18,378.8,-33,528.7,24,93.1,-44,0.2,-99,0,-100
2011,South,11.5,-66,5.4,-90,90.4,47,117,-33,152.7,-48,308.5,-34,663.3,30,513.4,16,318.2,-11,13.9,-91,28.6,55,1,-95
2012,South,10.1,-70,3.6,-94,9.1,-85,122,-31,187.5,-36,367.2,-21,372.1,-27,359.7,-18,385.1,8,16.9,-89,0,-100,0,-100
2013,South,4,-88,25.7,-54,66.2,7,111,-37,263.8,-10,288.4,-38,297.8,-41,339.6,-23,189.2,-47,141.5,-9,2.2,-88,13.5,-30
2014,South,0,-100,5.6,-90,54.6,-12,10,-94,164.7,-44,279.3,-40,391.1,-23,651.4,48,353.5,-1,44.1,-71,0,-100,1.6,-92
2015,South,2.4,-93,9.2,-84,74.4,21,155,12,269.9,-7,394.8,-15,625.8,23,377.3,-14,448.5,26,84,-46,30,63,3.8,-80
2016,South,15.2,-55,2.1,-96,30.5,-51,30.4,-83,234.8,-19,384.2,-17,629.2,24,175.1,-60,359.9,1,127.6,-18,0,-100,1.8,-91
2017,South,5.6,-83,0,-100,69,12,147.9,-16,229,-21,156.7,-66,497.5,-2,373,-15,425.2,19,75.2,-51,7,-62,0,-100
2018,South,2.9,-91,14.5,-74,78.5,27,153.4,-13,224.7,-23,372.6,-20,400.3,-21,416.2,-6,363.5,-2,34.1,-78,0,-100,26.2,35
2019,South,5.6,-85,58.3,-24,73.1,-39,202.7,-3,241.8,-22,221.7,-58,503.4,-16,164.8,-70,453,16,109.3,-36,5.3,-79,14.1,-22
2020,South,21.9,-40,31.6,-59,70.4,-42,135,-35,200.4,-36,556,5,929.6,55,679.7,23,766.2,97,47.2,-72,0,-100,10.2,-43
2021,South,2.6,-93,14.4,-81,35.3,-71,74.4,-64,258.2,-17,352.8,-33,421.9,-30,412,-26,153.2,-61,211.5,23,0.9,-96,22.8,27
2022,South,5.4,-56,47.1,122,79.6,50,75.5,-42,173.5,-22,365,-55,286.6,-44,323.4,-214,352.1,-5,108.4,42,0,-100,0,-100
